JobID	ExitCode	State	MaxRSS	Elapsed
27127606_43	0:0	COMPLETED		00:11:31
27127606_43.batch	0:0	COMPLETED	8081188K	00:11:31
27127606_43.extern	0:0	COMPLETED		00:11:31
27127606_57	0:0	COMPLETED		00:15:23
27127606_57.batch	0:0	COMPLETED	2174296K	00:15:23
27127606_57.extern	0:0	COMPLETED		00:15:23
27127606_65	0:0	COMPLETED		00:12:57
27127606_65.batch	0:0	COMPLETED	836020K	00:12:57
27127606_65.extern	0:0	COMPLETED		00:12:57
27127606_78	0:0	COMPLETED		00:14:38
27127606_78.batch	0:0	COMPLETED	2559016K	00:14:38
27127606_78.extern	0:0	COMPLETED		00:14:38
27127606_324	0:0	COMPLETED		01:00:27
27127606_324.batch	0:0	COMPLETED	2592172K	01:00:27
27127606_324.extern	0:0	COMPLETED		01:00:27
27127606_464	0:0	COMPLETED		00:52:31
27127606_464.batch	0:0	COMPLETED	2107952K	00:52:31
27127606_464.extern	0:0	COMPLETED		00:52:31
27127606_505	0:0	COMPLETED		00:42:32
27127606_505.batch	0:0	COMPLETED	3837052K	00:42:32
27127606_505.extern	0:0	COMPLETED		00:42:32
27127606_515	0:0	COMPLETED		01:50:40
27127606_515.batch	0:0	COMPLETED	7117136K	01:50:40
27127606_515.extern	0:0	COMPLETED		01:50:40
27127606_543	0:0	COMPLETED		00:13:33
27127606_543.batch	0:0	COMPLETED	709220K	00:13:33
27127606_543.extern	0:0	COMPLETED		00:13:33
27127606_548	0:0	COMPLETED		00:37:06
27127606_548.batch	0:0	COMPLETED	4960100K	00:37:06
27127606_548.extern	0:0	COMPLETED		00:37:06
27127606_575	0:0	COMPLETED		01:12:37
27127606_575.batch	0:0	COMPLETED	5074968K	01:12:37
27127606_575.extern	0:0	COMPLETED		01:12:37
27127606_583	0:0	COMPLETED		01:32:30
27127606_583.batch	0:0	COMPLETED	5734148K	01:32:30
27127606_583.extern	0:0	COMPLETED		01:32:30
27127606_608	0:0	COMPLETED		00:10:36
27127606_608.batch	0:0	COMPLETED	604948K	00:10:36
27127606_608.extern	0:0	COMPLETED		00:10:36
27127606_658	0:0	COMPLETED		01:03:37
27127606_658.batch	0:0	COMPLETED	1646044K	01:03:37
27127606_658.extern	0:0	COMPLETED		01:03:37
27127606_803	0:0	COMPLETED		02:47:16
27127606_803.batch	0:0	COMPLETED	5145760K	02:47:16
27127606_803.extern	0:0	COMPLETED		02:47:16
27127606_815	0:0	TIMEOUT		09:00:20
27127606_815.batch	0:15	CANCELLED	8284844K	09:00:21
27127606_815.extern	0:0	COMPLETED		09:00:21
27127606_877	1:0	FAILED		00:16:43
27127606_877.batch	1:0	FAILED	1300580K	00:16:43
27127606_877.extern	0:0	COMPLETED		00:16:43
27127606_897	0:0	COMPLETED		00:52:42
27127606_897.batch	0:0	COMPLETED	2739320K	00:52:42
27127606_897.extern	0:0	COMPLETED		00:52:42
27127606_910	0:0	TIMEOUT		09:00:20
27127606_910.batch	0:15	CANCELLED	8622000K	09:00:21
27127606_910.extern	0:0	COMPLETED		09:00:21
27127606_1276	0:0	COMPLETED		02:11:13
27127606_1276.batch	0:0	COMPLETED	5396296K	02:11:13
27127606_1276.extern	0:0	COMPLETED		02:11:13
27127606_1308	0:0	COMPLETED		01:20:28
27127606_1308.batch	0:0	COMPLETED	2257820K	01:20:28
27127606_1308.extern	0:0	COMPLETED		01:20:28
27127606_1328	0:0	COMPLETED		02:47:33
27127606_1328.batch	0:0	COMPLETED	4805960K	02:47:33
27127606_1328.extern	0:0	COMPLETED		02:47:33
27127606_1554	0:0	COMPLETED		01:50:31
27127606_1554.batch	0:0	COMPLETED	5562664K	01:50:31
27127606_1554.extern	0:0	COMPLETED		01:50:31
27127606_1561	0:0	COMPLETED		01:28:54
27127606_1561.batch	0:0	COMPLETED	4294740K	01:28:54
27127606_1561.extern	0:0	COMPLETED		01:28:54
27127630_1	0:0	COMPLETED		00:04:17
27127630_1.batch	0:0	COMPLETED	403816K	00:04:17
27127630_1.extern	0:0	COMPLETED		00:04:17
27127630_2	0:0	COMPLETED		00:40:24
27127630_2.batch	0:0	COMPLETED	1298980K	00:40:24
27127630_2.extern	0:0	COMPLETED		00:40:24
27127630_3	0:0	COMPLETED		00:26:40
27127630_3.batch	0:0	COMPLETED	1012416K	00:26:40
27127630_3.extern	0:0	COMPLETED		00:26:40
27127630_4	0:0	COMPLETED		00:25:20
27127630_4.batch	0:0	COMPLETED	1149736K	00:25:20
27127630_4.extern	0:0	COMPLETED		00:25:20
27127630_5	0:0	COMPLETED		00:05:01
27127630_5.batch	0:0	COMPLETED	602640K	00:05:01
27127630_5.extern	0:0	COMPLETED		00:05:01
27127630_6	0:0	COMPLETED		00:35:06
27127630_6.batch	0:0	COMPLETED	1101776K	00:35:06
27127630_6.extern	0:0	COMPLETED		00:35:06
27127630_7	0:0	COMPLETED		00:21:47
27127630_7.batch	0:0	COMPLETED	883512K	00:21:47
27127630_7.extern	0:0	COMPLETED		00:21:47
27127630_8	0:0	COMPLETED		00:05:56
27127630_8.batch	0:0	COMPLETED	493564K	00:05:56
27127630_8.extern	0:0	COMPLETED		00:05:56
27127630_9	1:0	FAILED		00:05:04
27127630_9.batch	1:0	FAILED	1216540K	00:05:04
27127630_9.extern	0:0	COMPLETED		00:05:04
27127630_10	0:0	COMPLETED		00:04:10
